,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price XOF,Variant Price XAF,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,levocarnitine-1000mg-ampoule,LEVOCARNITINE 1000 mg ampoule solution,,Traitement des déficits en carnitine.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-LEV-028,,FALSE,FALSE,,,,,,,,,,,7200,7200,,,,
,pregabaline-300mg-gelule,PREGABALINE 300 mg gélule,,Anti-épileptique et douleurs neuropathiques.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-PRE-029,,FALSE,FALSE,,,,,,,,,,,9500,9500,,,,
,entecavir-1mg-comprime,ENTECAVIR 1 mg comprimé,,Antiviral Hépatite B chroniques.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-ENT-030,,FALSE,FALSE,,,,,,,,,,,45000,45000,,,,
,perindopril-6-816mg-comprime,PÉRINDOPRIL 6,816 mg comprimé,,Inhibiteur de l'enzyme de conversion.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-PER-031,,FALSE,FALSE,,,,,,,,,,3800,3800,,,,
,cromoglicate-2g-collyre,CROMOGLICATE 2 g collyre solution,,Collyre anti-allergique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CRO-032,,FALSE,FALSE,,,,,,,,,,,1400,1400,,,,
,dipyridamole-75mg-comprime,DIPYRIDAMOLE 75 mg comprimé,,Antiagrégant plaquettaire.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-DIP-037,,FALSE,FALSE,,,,,,,,,,,3600,3600,,,,
,clobetasol-500mcg-mousse,PROPIONATE DE CLOBETASOL 500 mcg mousse,,Corticostéroïde local puissant.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-CLO-038,,FALSE,FALSE,,,,,,,,,,,4800,4800,,,,
,silodosine-8mg-gelule,SILODOSINE 8 mg gélule,,Alpha-bloquant.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-SIL-040,,FALSE,FALSE,,,,,,,,,,,5400,5400,,,,
,trinitrine-15-7mg-dispositif,TRINITRINE 15.7 mg dispositif transdermique,,Dérivé nitré anti-angoreux.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-TRI-041,,FALSE,FALSE,,,,,,,,,,,6200,6200,,,,
,dorzolamide-20mg-collyre,DORZOLAMIDE 20 mg collyre solution,,Anti-glaucomateux local.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-DOR-042,,FALSE,FALSE,,,,,,,,,,,3100,3100,,,,
,riociguat-1-5mg-comprime,RIOCIGUAT 1.5 mg comprimé,,Stimulateur de la guanylate cyclase.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-RIO-043,,FALSE,FALSE,,,,,,,,,,,95000,95000,,,,
,paracetamol-1000mg-comprime,PARACETAMOL 1000 mg comprimé,,Antalgique et antipyrétique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-PAR-045,,FALSE,FALSE,,,,,,,,,,,1500,1500,,,,
,glibenclamide-5mg-comprime,GLIBENCLAMIDE 5 mg comprimé,,Sulfamide hypoglycémiant oral.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-GLI-047,,FALSE,FALSE,,,,,,,,,,,1800,1800,,,,
,gabapentine-400mg-gelule,GABAPENTINE 400 mg gélule,,Anti-épileptique analgésique.,published,,,,,,,,,,,,,TRUE,,,Boite,PHARMA-GAB-049,,FALSE,FALSE,,,,,,,,,,,5800,5800,,,,
